page_size,duration(mm:ss:ms),document_size,total_file_size
100,00.00.82,185 KiB,83,
200,00.00.88,370 KiB,42,
300,00.01.24,554 KiB,28,
400,00.01.33,738 KiB,21,
500,00.01.48,923 KiB,17,
600,00.01.57,1.1 MiB,14,
700,00.01.63,1.2 MiB,12,
800,00.02.20,1.4 MiB,11,
900,00.03.12,1.6 MiB,10,
1000,00.03.18,1.8 MiB,9
